日期,標題,內容,網址
"

                    				2019-08-02                    			","
    							論人氣及外型都力壓小櫻款？ ADIDAS X《NARUTO》最新角色曝光！        					","
先前 COOL 曾經為各位報導過 adidas 與知名動漫《Naruto》合作的聯名鞋款，儘管當時搶先曝光的鞋款是以角色－小櫻作為主題，這似乎讓不少粉絲都有點期待落空？ 不過別擔心，時隔一個月 adidas 再次曝光下一雙作品，從鞋款的配色及種種細節來看，其實已經可以直接猜到同樣也是劇情中人氣極高的角色－卡卡西，選用 adidas 的 COPA Ultra Boost 跑鞋，在配色上運用海軍藍及灰色巧妙的與卡卡西身上的配色相呼應，材質的部分從鞋身到側身 Logo 與鞋標皆以絨面革與麂皮打造，其中最大的亮點絕對是 Boost 上卡卡西的日文字呈現，鞋舌上專屬於卡卡西的萬花筒血輪眼圖示和位於後跟的木葉標誌更具有化龍眼睛的效果，不過該鞋款目前依然沒有透漏更多販售資訊，有興趣的朋友不妨持續追蹤 COOL 的後續報導。





image via Sneakernews
文/Walker’s
source / Sneakernews
延伸閱讀：這波「聯名螺旋丸」你接得住？ADIDAS X《火影忍者》首雙曝光
延伸閱讀：101球場燥起來啦！ADIDAS 全新籃球戰靴 BALL AROUND THE WORLD 系列三箭齊發！
",https://www.cool-style.com.tw/wd2/archives/438740
"

                    				2019-08-02                    			","
    							週五球鞋販售預告 │New Balance Japan 領軍眾多聯名款強勢來襲，還有超可愛的 adidas 情人節系列與變色 Converse，這些你絕對都不能錯過 !        					","
每個月初想必是各位朋友荷包最飽的時候，本週 COOL 準時為大家整理下週的球鞋販售預告，雖然沒有什麼超級神鞋，但包含 Nike x Stranger Things 和 PUMA SELECT X RHUDE 在內的多雙聯名鞋款，還是能讓在炎炎夏日帥到沒朋友。因應七夕到來的 adidas  Stan Smith 與亞洲限定的 Vans Kung-Fu Pack，看得出來各家品牌都使出渾身解數，企圖佔領你我的鞋櫃，不過買鞋還是要穿出自己的風格最重要，趕緊讓我們來看看有哪些優質好鞋吧 !

 New Balance Japan 2019夏季聯名限量款


定價：N. Hoolywood-CM996NHB NT$5,950、nonnative-CM996NNS $5,750、其餘款式 NT$4,950
販售日期：2019/08/03
販售資訊：New Balance TW

Nike x Stranger Things


定價：NT$ 4,000
販售日期：2019 / 08 / 03
販售資訊：JUICE Taipei

Air Jordan XIII / Court Purple


定價：NT$ 6,300
販售日期：2019 / 08 / 03
販售資訊：Nike TW

Nike Daybreak/Metallic Gold


定價：NT$ 4,000
販售日期：2019 / 08 / 03
販售資訊：Nike TW

Chinatown Market x Converse


定價：Chuck 70 Hi – NT$3,880、Chuck 70 Ox – NT$3,580
販售日期：2019 / 08 / 02
販售資訊：JUICE Taiwan、INVINCIBLE

adidas Originals Stan Smith 情人節專屬系列


定價：NT$ 3,890、NT$ 3,690
販售日期：2019 / 08 / 02
販售資訊：adidas.com

Vans Authentic Kung-Fu Pack


定價：NT$ 2,380
販售日期：2019 / 08 / 03
販售資訊：vanstaiwan

Onitsuka Tiger FABRE BL-S 2.0 系列


定價：NT$ 2,500
販售日期：2019 / 08 / 01
販售資訊：Onitsuka Tiger TW

PUMA SELECT X RHUDE


定價：尚未公佈
販售日期：2019 / 08 / 03
販售資訊：Puma TW
",https://www.cool-style.com.tw/wd2/archives/438748
"

                    				2019-08-02                    			","
    							航海王鐵粉不能不收！ SKECHERS X 「頂上之戰」聯名款開箱：細節、穿搭、情懷通通傾囊而出，一次報給你知！        					","
近期許多品牌紛紛與動漫合作推出聯名鞋款，而 SKECHERS 與航海王的聯名老爹鞋，更是讓無數動漫迷為之瘋狂的系列，一推出即造成廣大海粉的討論，也成功帶起一波海賊風潮！
image via SKECHERS

SKECHERS X ONE PIECE 「頂上之戰」聯名款開箱！ ft.MU 陳慕

相信有許多人是從漫畫連載一直追到動畫、電影，十幾二十年骨灰級的粉絲，而此次與我們一同開箱的陳慕也是「航海王的鐵粉」！他自己也表示，身為超級粉絲能夠開箱此次 SKECHERS 與航海王的聯名老爹鞋感到相當驕傲！此次開箱，開出的不只是波鞋，更是一代人的情懷，「於潮流而言，沒理由不買；從情懷來談，更是不能不收」！

看完影片的人絕對會發現，此次聯名鞋款的細節多到會讓鐵粉們流下時代的眼淚；還沒看的，也可以在觀看開箱的同時，測試看看究竟自己能不能一眼就認出配色對應的角色（證明自己是不是骨灰級粉絲就看這次了）！

聯名款穿搭，帶你帥出新高度！

image via SKECHERS
SKECHERS 這次聯名系列，以最新一代的 D’LITES 3.0 老爹鞋為設計雛型，並選擇以航海王最經典的「馬林福特頂上之戰」為概念，共推出魯夫、艾斯、白鬍子、羅、吉貝爾、黑鬍子、女帝、馬可八款聯名老爹鞋，且台灣是全球唯一 8 款都有販售的國家，每一款都是限量發售！
image via SKECHERS
老爹鞋的穿搭不稀奇，但加上航海王的角色元素到鞋款中就顯得格外獨特，SKECHERS 結合 D’LITES 3.0 老爹鞋的拼接特色，將每個角色的特色分別放在鞋面、鞋舌、鞋後跟處、鞋墊，每一款都細節滿滿，也讓穿搭上更能表現個人特色與態度。

「艾斯」：火拳橘為主調，細節相呼應！

image via SKECHERS
陳慕認為穿搭重點還是要讓人將目光 Focus 在鞋子上，利用橘色系的圖騰襯衫，內搭素色白 T ，加上淺藍牛仔褲，整體呈現出較夏天色系的穿搭，也讓身上的橘色元素和艾斯款上的火焰橘有所呼應。

「白鬍子」：老爹鞋裡真的有老爹！工裝 LOOK 也能穿出反差萌

image via SKECHERS
有史上最強男人之稱的白鬍子，給人感覺是比較 man 較嚴肅的印象，如果能顛覆這樣的印象，利用工裝風格的卡其吊帶褲內搭素 T，和白鬍子款的微妙搭配，營造一種反差萌的效果，乍看會認為很跳，但其實毫不違和，也是時下流行的衝突穿搭。

「黑鬍子」：黑鬍子所到之地，沒有不起狼煙！軍裝穿起來！

image via SKECHERS
同時擁有兩個惡魔果實的黑鬍子，本身給人粗曠的印象，可用軍裝迷彩的元素去搭配，一件迷彩褲搭配素色單品，再戴上紅色的帽子讓穿搭更具風格化，整體造型搭配很有氣勢。

「吉貝爾」：夏日海洋限定款！就穿這套去海邊 CHILL！

image via SKECHERS
吉貝爾款除了鞋後跟的浴衣非常有特色外，北卡藍是整雙鞋子的重點，有海洋、夏天、度假的聯想，一件短褲及素T的隨性搭配就非常亮眼，也可加上一件藍色系襯衫當外搭，讓整體穿搭更有層次感。

潮鞋、情懷、復古、撞色 — 四個元素一次 GET ！

image via SKECHERS 
超百搭的 SKECHERS x ONEPIECE 聯名老爹鞋 D’LITES 3.0 ，每一款都細節滿滿，除了完整呈現各個角色的精神與特色，即使你不是航海迷，也可從老爹鞋的復古色塊拼接中，找到一個穿搭的著力點，並利用不同的造型，創造屬於你個人獨有的魅力與風格。
更多相關資訊  SKECHERS 官網
",https://www.cool-style.com.tw/wd2/archives/438750
"

                    				2019-08-02                    			","
    							COOL開箱｜跑鞋王者出招！NEW BALANCE 史上最強跑鞋 FuelCell Propel 連穿搭都OK！        					","
稍早 COOL 編輯部收到一箱 New Balance 送來的超大”禮盒”，拆封後赫然是彈珠檯！？沒想到在彈珠檯下居然還裝了一雙 NB 近來誇下海口，堪稱史上最強科技的 FuelCell 系列鞋款 – FuelCell Propel！究竟是怎樣的科技能讓 NB 如此有自信，不僅機能強大甚至連穿搭都能搞定！？趕緊開箱給大家看啦！
   
2019 年 New Balance 全新發表 FuelCell 中底科技，引領旗下專業運動鞋類邁入嶄新紀元，並率先應用於跑鞋產品中，掀起跑界另一波速度革命。有別於 2012 年問世的 FuelCell 中底科技以 N2 液態氮氣填充製成，全新 FuelCell 中底科技是由 New Balance Innovation Design Studio主導開發的發泡材質，為了讓跑者速度更完整被釋放，研發團隊仔細觀察跑者足部每 0.1 秒的細微變化，彙整步態數據、運動效率、腳掌貼合程度等資料逐一精進，淬鍊出 New Balance 有史以來回饋感最鮮明、推進效能最優異的中底配方，給予跑者全速推進力，締造更好成績。
  
繼專業跑鞋 FuelCell Rebel 之後、為日長訓練而生的 FuelCell Propel 更適合大眾運動、日常穿著的跑鞋，因應一般市民跑者、初階跑者等普遍需求而生，有別於 FuelCell Rebel 策略性將 FuelCell 科技置於前腳掌釋放跑者爆發力的做法，FuelCell Propel 裝載全長式 FuelCell 中底，提供強大吸震緩衝及能量回彈，全面保護雙腳使人安心跨出步伐，足以陪伴跑者進行日常跑步、訓練，一步步往更好的狀態邁進。鞋身以輕薄透氣的網布面料為主，大量孔洞讓熱氣得以快速排出不易產生濕悶感，正適合臺灣時下炎熱的季節著用，而表層結合 Trace Fiber 編織技術在不同部位稱職發揮支撐作用，鞋頭前緣使用 TPU 材質增加耐用度，細心為跑者設想。外底造型設計靈活中力求平穩，幫助跑者保持順暢步伐，並混合 New Balance 獨家 Ndurance 耐磨橡膠材質延長鞋款使用壽命。
 
FuelCell Propel 不只是跑步運動時的好夥伴，就算想要用於日常穿著也能輕鬆勝任，鞋身漸層色系在視覺上格外活潑奔放，搭配休閒服裝無違和，全長式 FuelCell 中底輕鬆應付長時間穿著行走，降低足部疲勞感，無論平常外出、跑步揮汗 FuelCell Propel 都能隨時上陣，加上相對於 FuelCell 家族競速型跑鞋更親民的訂價，FuelCell Propel 跑鞋會是你想要全天著用或入門嘗試 FuelCell 科技的好選擇。(該彈珠鞋盒為親友限定，市面並無販售)
 
",https://www.cool-style.com.tw/wd2/archives/438789
"

                    				2019-08-02                    			","
    							寫輪眼元素注入！搶先一覽《火影忍者》 x adidas 聯乘系列「卡卡西」鞋款        					","

jQuery( document ).ready(function() {
	jQuery( '#example3_438800' ).sliderPro({
		//width
				width: 1000,
				
		//height
				height: 700,
				
		//autoplay
				autoplay: true,
		autoplayOnHover: 'none',
								autoplayDelay: 5000,
		
		
		arrows: true,
		buttons: true,
		smallSize: 500,
		mediumSize: 1000,
		largeSize: 3000,
		fade: true,
		
		//thumbnail
		thumbnailArrows: true,
		thumbnailWidth: 100,
		thumbnailHeight: 100,
						thumbnailsPosition: 'bottom',
						centerImage: true,
		imageScaleMode: 'cover',
		allowScaleUp: true,
				startSlide: 0,
		loop: true,
		slideDistance: 5,
		autoplayDirection: 'normal',
		touchSwipe: true,
		fullScreen: true,
	});
});


/* Layout 3 */
/* border */
#example3_438800 .sp-selected-thumbnail {
	border: 4px solid #000000;
}

/* font + color */
.title-in  {
	font-family: Arial !important;
	color: #00000 !important;
	background-color: #FFFFFF !important;
	opacity: 0.7 !important;
}
.desc-in  {
	font-family: Arial !important;
	color: #FFFFFF !important;
	background-color: #00000 !important;
	opacity: 0.7 !important;
}

/* bullets color */
.sp-button  {
	border: 2px solid #000000 !important;
}
.sp-selected-button  {
	background-color: #000000 !important;
}

/* pointer color - bottom */
.sp-selected-thumbnail::before {
	border-bottom: 5px solid #000000 !important;
}
.sp-selected-thumbnail::after {
	border-bottom: 13px solid #000000 !important;
}

/* pointer color - top */

/* full screen icon */
.sp-full-screen-button::before {
    color: #FFFFFF !important;
}

/* hover navigation icon color */
.sp-next-arrow::after, .sp-next-arrow::before {
	background-color: #FFFFFF !important;
}
.sp-previous-arrow::after, .sp-previous-arrow::before {
	background-color: #FFFFFF !important;
}

#example3_438800 .title-in {
	color: #00000 !important;
	font-weight: bolder;
	text-align: center;
}

#example3_438800 .title-in-bg {
	background: rgba(255, 255, 255, 0.7); !important;
	white-space: unset !important;
	max-width: 90%;
	min-width: 40%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 14px !important;
}

#example3_438800 .desc-in {
	color: #FFFFFF !important;
	text-align: center;
}
#example3_438800 .desc-in-bg {
	background: rgba(#00000, 0.7) !important;
	white-space: unset !important;
	width: 80% !important;
	min-width: 30%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 13px !important;
}

.uris-title{
	font-family: Arial;
}

@media (max-width: 640px) {
	#example3_438800 .hide-small-screen {
		display: none;
	}
}

@media (max-width: 860px) {
	#example3_438800 .sp-layer {
		font-size: 18px;
	}
	
	#example3_438800 .hide-medium-screen {
		display: none;
	}
}
.fnf{
	background-color: #a92929;
	border-radius: 5px;
	color: #fff;
	font-family: initial;
	text-align: center;
	padding:12px;
}
/* Custom CSS */

寫輪眼元素注入！搶先一覽《火影忍者》 x adidas 聯乘系列「卡卡西」鞋款






























日本知名動漫《火影忍者》與 adidas 所推出的聯乘目前已陸續曝光，先前為大家帶來了小櫻款，這次則是另一人氣角色「卡卡西」。鞋款上使用了 COPA Ultra Boost 為藍本，那足球鞋面與跑鞋 BOOST 大底結合之下，與卡卡西本人特質相符。鞋面主要以藍色麂皮為主，配上些許灰麂皮點綴，並將大量「寫輪眼」元素融入鞋款設計之中，鞋帶鐵牌上也印有木葉忍者村之 Logo ，滿滿該角色的細節。不過，目前沒有切確該系列的發售日期，不過從如此高畫質的影像看來，應該離正式發售不久了，有興趣的朋友敬請關注 CooL 的後續報導。
 
 
source/ sneakernews
",https://www.cool-style.com.tw/wd2/archives/438788
"

                    				2019-08-02                    			","
    							兩大黑魂上陣！ASICS 頂級跑鞋宇宙黑&東京黑同步現身街頭！        					","
ASICS 今年二月全球同步發表的的劃時代革新跑鞋 METARIDE ，經實測證明能夠降低跑者在跑步過程中踝部關節能量耗損、提升跑步效率、重新定義專業跑鞋性能科技，台灣首批限量到貨即被專業跑者搶訂一空。即日起限量推出「宇宙黑」全新配色， METARIDE 獨特曲線鞋身設計搭配全黑色針織鞋面，鞋側漆光經典虎爪 LOGO 和足後跟處隱約展現霧面藍金屬光澤，低調卻更顯不凡王者霸氣。
    
ASICS 最具前瞻性、被跑者喻為「最完美長距離跑鞋」的 METARUN ，集結 ASICS 高端科技於一身，兼顧輕量、穩定、貼合、緩衝與均衡，從起跑到最後一步，為長距離跑者帶來更持久舒適的奔跑體驗；八月登場新色「東京黑」，以東京夜晚為意象設計，黑色緹花網布鞋面，搭配鞋側銀箔經典虎爪 LOGO 、銀色不規則網狀條紋中底，幾何線條扁平鞋帶，盡顯完美細節質感。
    
專業運動品牌 ASICS 亞瑟士旗下搭載高端科技的頂級跑鞋 METARIDE 與 METARUN 於8月2日同步推出黑潮全新配色，售價7,580元。
",https://www.cool-style.com.tw/wd2/archives/438749
"

                    				2019-08-02                    			","
    							神祕的《怪奇物語》x Nike 「刮刮樂」聯名鞋履全系列曝光！連「阿甘鞋」都來湊一腳！        					","
今年夏天口碑爆棚的 Netflix 人氣影集《怪奇物語》第三季依舊帶給影迷許多歡笑和淚水，但隨著完封 8 集你也有種悵然若失的感受嗎？運動品牌 Nike 為了減緩影迷們敲碗期待第四季的期待心情，早先就曾攜手知名球鞋店鋪 BAIT 帶來了一雙《怪奇物語》x Nike Air Tailwind 79 聯名鞋款，好玩又神秘的「刮刮樂」設計，劃開灰白色鞋面會透出藏身在下方的深藍色丹寧布與鞋後跟《怪奇物語》 Logo 等細節，這種呼應科幻神劇中的反轉世界設定，讓影迷十分激賞。如今此鞋款轉至 SSENSE 上架，同時還有另外一雙相同設計概念的阿甘鞋 Cortez 也突襲上架。不過我們更想問，究竟《怪奇物語》x Nike 隱藏版聯名系列有沒有機會來到台灣呢？請持續關注 COOL 的後續報導。
       
Source / SBD
文/River
 
 
",https://www.cool-style.com.tw/wd2/archives/438614
"

                    				2019-08-02                    			","
    							101球場燥起來啦！adidas 全新籃球戰靴 Ball Around The World 系列三箭齊發！        					","
迎接今夏最熱的 2019 國際籃球賽事， adidas Basketball 推出全新配色鞋款「Ball Around The World」系列，以世界各國國旗作為設計元素推出三款系列戰靴，包含全方位團隊鞋款 Pro Bounce 2019 Low、Marquee Boost 以及 Harden B/E 3 之全新配色。為響應國際籃球盛會，adidas 於 8 月 3 日起每周六日於 101 球場舉辦「adidas FIBA 3X3挑戰賽」，邀請球友一起燃燒籃球魂！

本次 adidas Basketball 同時推出三款主打團隊之籃球鞋款，將世界國旗圖案融入鞋身的三線標誌、鞋舌以及內裡，其中Pro Bounce 2019 Low採用 BOUNCE 中底增加彈跳落地的緩衝腳感，搭配連結中底的鞋側 TPU 緩衝結構，維持球員足部的穩定；
     
Marquee Boost 則採用具舒適回彈效果的 BOOST 中底，提供絕佳的能量回饋，並以一體成形的高筒加厚鞋領緊密貼合腳踝。
     
adidas Basketball 也推出採用美國隊配色為鞋款設計元素的全新鞋款 Harden B/E 3 ，以針織鞋面搭配魔鬼氈黏扣帶，提供足部完美包覆，打造靈活舒適的實戰籃球鞋款，並為夏日籃球賽場增添亮眼繽紛色彩。
     
為迎接 2019 國際籃球盛會到來， adidas 自 8 月 3 日起每周六日於 adidas101 球場舉辦「adidas FIBA 3X3挑戰賽」，邀請所有籃球愛好者一起在球場上揮汗奔馳，凡參與即可累積 FIBA 3X3 積分，團隊積分最高隊伍將可取得參賽資格，代表台灣出戰 2019 FIBA 3X3 高雄挑戰賽越南衛星賽，與各國好手同場競技！
adidas「Ball Around The World」系列籃球鞋款將於8月6日起全臺開賣
",https://www.cool-style.com.tw/wd2/archives/438655
"

                    				2019-08-01                    			","
    							PUMA DO YOU 攜手陳妤、趙岱新等各界強悍女力一起向未知挑戰！        					","
全球知名運動品牌 PUMA 持續推動 DO YOU 新女力運動，號召全球女性勇敢為自己喊聲，今年更大力支持女孩們突破社會既定印象，堅定地展現自信散發個人獨特魅力，如同今夏 PUMA 專為女孩打造的新女力系列新品 PUMA LQD CELL Shatter 螢光怪獸勁履般強悍出擊！

純白潔淨的鞋身卻毫無避諱展現最自信的螢光 PROFOAM 中底，搭配全新升級的 LQD CELL 氣室科技提高機能內在。另一款 PUMA WEAVE XT 系列，以 Boxing 拳擊為靈感，搶眼特殊的編織造型中底大力提升運動靈活度及步伐彈性，兩款新女力訓練戰履由內而外魅力直衝破表，實至名歸成為女力最佳後盾！

jQuery( document ).ready(function() {
	jQuery( '#example3_438528' ).sliderPro({
		//width
				width: 1000,
				
		//height
				height: 700,
				
		//autoplay
				autoplay: true,
		autoplayOnHover: 'none',
								autoplayDelay: 5000,
		
		
		arrows: true,
		buttons: true,
		smallSize: 500,
		mediumSize: 1000,
		largeSize: 3000,
		fade: true,
		
		//thumbnail
		thumbnailArrows: true,
		thumbnailWidth: 100,
		thumbnailHeight: 100,
						thumbnailsPosition: 'bottom',
						centerImage: true,
		imageScaleMode: 'cover',
		allowScaleUp: true,
				startSlide: 0,
		loop: true,
		slideDistance: 5,
		autoplayDirection: 'normal',
		touchSwipe: true,
		fullScreen: true,
	});
});


/* Layout 3 */
/* border */
#example3_438528 .sp-selected-thumbnail {
	border: 4px solid #000000;
}

/* font + color */
.title-in  {
	font-family: Arial !important;
	color: #00000 !important;
	background-color: #FFFFFF !important;
	opacity: 0.7 !important;
}
.desc-in  {
	font-family: Arial !important;
	color: #FFFFFF !important;
	background-color: #00000 !important;
	opacity: 0.7 !important;
}

/* bullets color */
.sp-button  {
	border: 2px solid #000000 !important;
}
.sp-selected-button  {
	background-color: #000000 !important;
}

/* pointer color - bottom */
.sp-selected-thumbnail::before {
	border-bottom: 5px solid #000000 !important;
}
.sp-selected-thumbnail::after {
	border-bottom: 13px solid #000000 !important;
}

/* pointer color - top */

/* full screen icon */
.sp-full-screen-button::before {
    color: #FFFFFF !important;
}

/* hover navigation icon color */
.sp-next-arrow::after, .sp-next-arrow::before {
	background-color: #FFFFFF !important;
}
.sp-previous-arrow::after, .sp-previous-arrow::before {
	background-color: #FFFFFF !important;
}

#example3_438528 .title-in {
	color: #00000 !important;
	font-weight: bolder;
	text-align: center;
}

#example3_438528 .title-in-bg {
	background: rgba(255, 255, 255, 0.7); !important;
	white-space: unset !important;
	max-width: 90%;
	min-width: 40%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 14px !important;
}

#example3_438528 .desc-in {
	color: #FFFFFF !important;
	text-align: center;
}
#example3_438528 .desc-in-bg {
	background: rgba(#00000, 0.7) !important;
	white-space: unset !important;
	width: 80% !important;
	min-width: 30%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 13px !important;
}

.uris-title{
	font-family: Arial;
}

@media (max-width: 640px) {
	#example3_438528 .hide-small-screen {
		display: none;
	}
}

@media (max-width: 860px) {
	#example3_438528 .sp-layer {
		font-size: 18px;
	}
	
	#example3_438528 .hide-medium-screen {
		display: none;
	}
}
.fnf{
	background-color: #a92929;
	border-radius: 5px;
	color: #fff;
	font-family: initial;
	text-align: center;
	padding:12px;
}
/* Custom CSS */

PUMA






















在戲劇上不斷突破自我極限的陳妤受邀擔任女力代表，身著 PUMA 全新 LQD CELL Shatter 系列鞋款挑戰 POUND FIT 擊鼓有氧運動，展現不同螢幕前的新面貌，而積極健身的雷艾美著 PUMA 女力訓練服出場，散發著超強氣勢在 PUMA DO YOU 活動現場躍躍欲試，滿心期待體驗全新 PUMA LQD CELL 氣室科技 2.0 升級版！

jQuery( document ).ready(function() {
	jQuery( '#example3_438530' ).sliderPro({
		//width
				width: 1000,
				
		//height
				height: 700,
				
		//autoplay
				autoplay: true,
		autoplayOnHover: 'none',
								autoplayDelay: 5000,
		
		
		arrows: true,
		buttons: true,
		smallSize: 500,
		mediumSize: 1000,
		largeSize: 3000,
		fade: true,
		
		//thumbnail
		thumbnailArrows: true,
		thumbnailWidth: 100,
		thumbnailHeight: 100,
						thumbnailsPosition: 'bottom',
						centerImage: true,
		imageScaleMode: 'cover',
		allowScaleUp: true,
				startSlide: 0,
		loop: true,
		slideDistance: 5,
		autoplayDirection: 'normal',
		touchSwipe: true,
		fullScreen: true,
	});
});


/* Layout 3 */
/* border */
#example3_438530 .sp-selected-thumbnail {
	border: 4px solid #000000;
}

/* font + color */
.title-in  {
	font-family: Arial !important;
	color: #00000 !important;
	background-color: #FFFFFF !important;
	opacity: 0.7 !important;
}
.desc-in  {
	font-family: Arial !important;
	color: #FFFFFF !important;
	background-color: #00000 !important;
	opacity: 0.7 !important;
}

/* bullets color */
.sp-button  {
	border: 2px solid #000000 !important;
}
.sp-selected-button  {
	background-color: #000000 !important;
}

/* pointer color - bottom */
.sp-selected-thumbnail::before {
	border-bottom: 5px solid #000000 !important;
}
.sp-selected-thumbnail::after {
	border-bottom: 13px solid #000000 !important;
}

/* pointer color - top */

/* full screen icon */
.sp-full-screen-button::before {
    color: #FFFFFF !important;
}

/* hover navigation icon color */
.sp-next-arrow::after, .sp-next-arrow::before {
	background-color: #FFFFFF !important;
}
.sp-previous-arrow::after, .sp-previous-arrow::before {
	background-color: #FFFFFF !important;
}

#example3_438530 .title-in {
	color: #00000 !important;
	font-weight: bolder;
	text-align: center;
}

#example3_438530 .title-in-bg {
	background: rgba(255, 255, 255, 0.7); !important;
	white-space: unset !important;
	max-width: 90%;
	min-width: 40%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 14px !important;
}

#example3_438530 .desc-in {
	color: #FFFFFF !important;
	text-align: center;
}
#example3_438530 .desc-in-bg {
	background: rgba(#00000, 0.7) !important;
	white-space: unset !important;
	width: 80% !important;
	min-width: 30%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 13px !important;
}

.uris-title{
	font-family: Arial;
}

@media (max-width: 640px) {
	#example3_438530 .hide-small-screen {
		display: none;
	}
}

@media (max-width: 860px) {
	#example3_438530 .sp-layer {
		font-size: 18px;
	}
	
	#example3_438530 .hide-medium-screen {
		display: none;
	}
}
.fnf{
	background-color: #a92929;
	border-radius: 5px;
	color: #fff;
	font-family: initial;
	text-align: center;
	padding:12px;
}
/* Custom CSS */

PUMA






























source: PUMA
",https://www.cool-style.com.tw/wd2/archives/438521
"

                    				2019-08-01                    			","
    							在 NIKE SB 回歸前先試試水溫？ NIKE SB X AIR JORDAN 1 LOW 推出經典北卡藍配色！        					","
近期 Nike SB 可說是動作不斷，光是藉著 Virgil Abloh 的加持 還是攜手品牌聯名就位品牌曝光不少，但不倫如何一旦碰到有重磅合作的消息，你也只有乖乖掏錢買單的份，在 6 月時 Nike SB 就和 Jordan Brand  聯手推出聯名鞋履，並透過 Nike SB 旗下的職業滑手 Eric Koston 搶先曝光，採用 Air Jordan 1 Low 的款式並在鞋頭置入小跳人的刺繡 Logo，麂皮面料搭配上藍色讓整體多了些復古味道，而近期雙方將再度聯手並同樣選用 AJ1 的鞋款，值得一提的是這次的配色將以 Jordan 鞋的經典北卡藍配色來呈現，並將跳人 Logo 拿掉留下乾淨俐落的鞋面來呈現這次聯名的重點，但作為雙方聯名的鞋舌及鞋墊上的 Nike SB 細節設定一樣少不了，如果你也剛好喜歡這次雙強聯名帶來的作品，根據消息將於 8 月 12 日開始販售，有興趣的朋友可千萬別錯過啊！







image via Sneakernews
文/Walker’s
source / Sneakernews
延伸閱讀：VIRGIL ABLOH 曾經的預告是時候該兌現了？ 全新配色暗示 NIKE SB 熱潮即將回歸！
延伸閱讀：小飛人未來將加入滑板標誌？ NIKE SB 與 JORDAN 攜手打造的鞋款竟然意外適合！
",https://www.cool-style.com.tw/wd2/archives/438443
"

                    				2019-08-01                    			","
    							喜愛玩色的他這次要來點不一樣的！ GOLF LE FLEUR 最新配色將於本周販售！        					","
不論是 Kanye West 的 YEEZY 大軍或者是 Virgil Abloh 操刀的 The Ten 系列，透過設計師名氣的大力加持下，如今這些鞋款正主導著市場走向，但其中有一派不追隨流行趨勢，你說它有帶領球鞋設計的走向似乎也沒有這麼明顯，因為它就是任誰都無法模仿的 Golf Le Fleur 系列，這個由 Tyler The Creator 攜手 Converse 打造的聯名系列其最大的特色便是那招牌小花以及使用大膽鮮豔的配色。


 
稍早也有消息指出最新配色 GOLF Le Fleur “Color Block” 將於本周販售，全白色皮革鞋身提升整體質感，別於過去使用 Converse 70 泛黃大底，這次反其道而行將中底以色塊填充的方式來呈現，分別為 Racing Red 及 Kelly Green，並且在鞋身印上 Golf Le Fleur 的字樣， 縫線及鞋舌標誌也都配合中底配色的方式來設計，讓你目光投射在那鮮豔顯色中底的同時，鞋身上的小細節也是你不容忽視的。


image via Sneakernews
根據消息新配色將於 8 月 3 日於 Golf Wang 以及 Converse 官網販售，有興趣的朋友可千萬別錯過！
文/Walker’s
source / Golf Wang
延伸閱讀：夏日亮色搭配少不了它！ 一覽 GOLF WANG X LACOSTE 完整形象照與單品圖！
延伸閱讀：這根本是球鞋界的變色龍！ CONVERSE 這雙撞色拼接竟然得透過紫外線照射才能呈現？
",https://www.cool-style.com.tw/wd2/archives/438414
