商品型號,商品網址,商品照片,商品標題,品牌,分類,男女款,價格(台幣),商品介紹,主要顏色,次要顏色,主色比例,次色比例
51286_NVW,https://www.skechers.com/en-us/style/51286/stamina-cutback/nvw,https://image.skechers.com/img/productimages/xlarge/51286_NVW_E.jpg,Men's Stamina - Cutback,Skechers,ATHLETICS,Man,70,"A classic athletic trainer gets a comfort update in the SKECHERS Stamina - Cutback shoe. Leather, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Trubuck durable leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Lace up athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Reflective synthetic edging trim
Breathable cordura mesh side panels
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
51286_CCBK,https://www.skechers.com/en-us/style/51286/stamina-cutback/ccbk,https://image.skechers.com/img/productimages/xlarge/51286_CCBK_F.jpg,Men's Stamina - Cutback,Skechers,ATHLETICS,Man,70,"A classic athletic trainer gets a comfort update in the SKECHERS Stamina - Cutback shoe. Leather, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Trubuck durable leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Lace up athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Reflective synthetic edging trim
Breathable cordura mesh side panels
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
51919_BBK,https://www.skechers.com/en-us/style/51919/stamina-woodmer/bbk,https://image.skechers.com/img/productimages/xlarge/51919_BBK_E.jpg,Men's Stamina - Woodmer,Skechers,ATHLETICS,Man,70,"Get right into the cool sporty style and comfort of the SKECHERS Stamina - Woodmer shoe. Smooth leather, synthetic and mesh fabric upper in a slip on stretch laced athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Smooth action leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Slip on stretch laced athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Contrast colored side overlay detail
Breathable cordura mesh side panels
Side S logo
Stretch bungee laced front panel with center overlay
Stretch laced slip on design with heel pull on tabs
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
51919_BKCC,https://www.skechers.com/en-us/style/51919/stamina-woodmer/bkcc,https://image.skechers.com/img/productimages/xlarge/51919_BKCC_E.jpg,Men's Stamina - Woodmer,Skechers,ATHLETICS,Man,70,"Get right into the cool sporty style and comfort of the SKECHERS Stamina - Woodmer shoe. Smooth leather, synthetic and mesh fabric upper in a slip on stretch laced athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Smooth action leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Slip on stretch laced athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Contrast colored side overlay detail
Breathable cordura mesh side panels
Side S logo
Stretch bungee laced front panel with center overlay
Stretch laced slip on design with heel pull on tabs
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
51919_TPBK,https://www.skechers.com/en-us/style/51919/stamina-woodmer/tpbk,https://image.skechers.com/img/productimages/xlarge/51919_TPBK_E.jpg,Men's Stamina - Woodmer,Skechers,ATHLETICS,Man,70,"Get right into the cool sporty style and comfort of the SKECHERS Stamina - Woodmer shoe. Smooth leather, synthetic and mesh fabric upper in a slip on stretch laced athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Smooth action leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Slip on stretch laced athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Contrast colored side overlay detail
Breathable cordura mesh side panels
Side S logo
Stretch bungee laced front panel with center overlay
Stretch laced slip on design with heel pull on tabs
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
51919_NVGY,https://www.skechers.com/en-us/style/51919/stamina-woodmer/nvgy,https://image.skechers.com/img/productimages/xlarge/51919_NVGY_E.jpg,Men's Stamina - Woodmer,Skechers,ATHLETICS,Man,70,"Get right into the cool sporty style and comfort of the SKECHERS Stamina - Woodmer shoe. Smooth leather, synthetic and mesh fabric upper in a slip on stretch laced athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Smooth action leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Slip on stretch laced athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Contrast colored side overlay detail
Breathable cordura mesh side panels
Side S logo
Stretch bungee laced front panel with center overlay
Stretch laced slip on design with heel pull on tabs
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
51937_OFWT,https://www.skechers.com/en-us/style/51937/stamina-airy/ofwt,https://image.skechers.com/img/productimages/xlarge/51937_OFWT_E.jpg,Men's Stamina Airy,Skechers,ATHLETICS,Man,70,"A sneaker original gets a lightweight new look and enhanced comfort with the SKECHERS Stamina Airy shoe. Leather, suede, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth action leather and sport suede upper
Synthetic overlays and mesh fabric panels
Mesh fabric panels at toe, sides and collar for cooling effect
Lace up athletic training sneaker design
Stitching accents
Tone-on-tone or two tone overlay designs
Layered side and heel overlay detail
Breathable diamond pattern mesh fabric panels
Side SKECHERS emboss logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
New lighter weight 'Airy' shock absorbing sculpted midsole design
Flexible shock absorbing midsole
Contrast colored rubber toe and heel traction pads
1 3/4 inch built in heel",,,,
51937_CHAR,https://www.skechers.com/en-us/style/51937/stamina-airy/char,https://image.skechers.com/img/productimages/xlarge/51937_CHAR_E.jpg,Men's Stamina Airy,Skechers,ATHLETICS,Man,70,"A sneaker original gets a lightweight new look and enhanced comfort with the SKECHERS Stamina Airy shoe. Leather, suede, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth action leather and sport suede upper
Synthetic overlays and mesh fabric panels
Mesh fabric panels at toe, sides and collar for cooling effect
Lace up athletic training sneaker design
Stitching accents
Tone-on-tone or two tone overlay designs
Layered side and heel overlay detail
Breathable diamond pattern mesh fabric panels
Side SKECHERS emboss logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
New lighter weight 'Airy' shock absorbing sculpted midsole design
Flexible shock absorbing midsole
Contrast colored rubber toe and heel traction pads
1 3/4 inch built in heel",,,,
51982_BKW,https://www.skechers.com/en-us/style/51982/tidao/bkw,https://image.skechers.com/img/productimages/xlarge/51982_BKW_E.jpg,Men's Tidao,Skechers,ATHLETICS,Man,70,"Get in on the next generation of sneaker style and comfort with the SKECHERS Tidao shoe. Leather, suede, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth action leather and sport suede upper
Synthetic overlays and mesh fabric panels
Mesh fabric panels at instep and tongue for cooling effect
Lace up athletic training sneaker design
Stitching accents
Two tone overlay mudguard or tone-on-tone overlay designs
Contrast colored synthetic edging trim at sides and heel panel
Perforation detail on front panel
Side, heel and tongue embossed SKECHERS logo designs
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing midsole with sculpted logo detail
Flexible rubber high traction 'sawtooth' design outsole
Contrast colored sole detailing
1 3/4 inch built in heel",,,,
51982_NAT,https://www.skechers.com/en-us/style/51982/tidao/nat,https://image.skechers.com/img/productimages/xlarge/51982_NAT_E.jpg,Men's Tidao,Skechers,ATHLETICS,Man,70,"Get in on the next generation of sneaker style and comfort with the SKECHERS Tidao shoe. Leather, suede, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth action leather and sport suede upper
Synthetic overlays and mesh fabric panels
Mesh fabric panels at instep and tongue for cooling effect
Lace up athletic training sneaker design
Stitching accents
Two tone overlay mudguard or tone-on-tone overlay designs
Contrast colored synthetic edging trim at sides and heel panel
Perforation detail on front panel
Side, heel and tongue embossed SKECHERS logo designs
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing midsole with sculpted logo detail
Flexible rubber high traction 'sawtooth' design outsole
Contrast colored sole detailing
1 3/4 inch built in heel",,,,
51982_WNVR,https://www.skechers.com/en-us/style/51982/tidao/wnvr,https://image.skechers.com/img/productimages/xlarge/51982_WNVR_E.jpg,Men's Tidao,Skechers,ATHLETICS,Man,70,"Get in on the next generation of sneaker style and comfort with the SKECHERS Tidao shoe. Leather, suede, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth action leather and sport suede upper
Synthetic overlays and mesh fabric panels
Mesh fabric panels at instep and tongue for cooling effect
Lace up athletic training sneaker design
Stitching accents
Two tone overlay mudguard or tone-on-tone overlay designs
Contrast colored synthetic edging trim at sides and heel panel
Perforation detail on front panel
Side, heel and tongue embossed SKECHERS logo designs
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing midsole with sculpted logo detail
Flexible rubber high traction 'sawtooth' design outsole
Contrast colored sole detailing
1 3/4 inch built in heel",,,,
52460_NTBL,https://www.skechers.com/en-us/style/52460/skechers-s-quad/ntbl,https://image.skechers.com/img/productimages/xlarge/52460_NTBL_E.jpg,Men's Skechers S Quad,Skechers,ATHLETICS,Man,80,"Lock in those squad goals in athletic style and comfort with the Skechers S Quad shoe. Smooth leather, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth action leather upper
Synthetic overlays and mesh fabric panels
Mesh fabric panels at front, sides, collar and tongue for cooling effect
Lace up athletic training sneaker design
Stitching accents
Two tone or tone-on-tone overlays with synthetic edging trim
Side overlay panels with stitched detail
Perforation details at front and sides
Heel and tongue embossed SKECHERS logo designs
Heel panel overlay with pull on fabric top loop
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing midsole with sculpted detail
Flexible rubber high traction outsole
Contrast colored midsole detailing
1 3/4 inch built in heel",,,,
52460_WBK,https://www.skechers.com/en-us/style/52460/skechers-s-quad/wbk,https://image.skechers.com/img/productimages/xlarge/52460_WBK_E.jpg,Men's Skechers S Quad,Skechers,ATHLETICS,Man,80,"Lock in those squad goals in athletic style and comfort with the Skechers S Quad shoe. Smooth leather, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth action leather upper
Synthetic overlays and mesh fabric panels
Mesh fabric panels at front, sides, collar and tongue for cooling effect
Lace up athletic training sneaker design
Stitching accents
Two tone or tone-on-tone overlays with synthetic edging trim
Side overlay panels with stitched detail
Perforation details at front and sides
Heel and tongue embossed SKECHERS logo designs
Heel panel overlay with pull on fabric top loop
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing midsole with sculpted detail
Flexible rubber high traction outsole
Contrast colored midsole detailing
1 3/4 inch built in heel",,,,
52460_BLK,https://www.skechers.com/en-us/style/52460/skechers-s-quad/blk,https://image.skechers.com/img/productimages/xlarge/52460_BLK_E.jpg,Men's Skechers S Quad,Skechers,ATHLETICS,Man,80,"Lock in those squad goals in athletic style and comfort with the Skechers S Quad shoe. Smooth leather, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth action leather upper
Synthetic overlays and mesh fabric panels
Mesh fabric panels at front, sides, collar and tongue for cooling effect
Lace up athletic training sneaker design
Stitching accents
Two tone or tone-on-tone overlays with synthetic edging trim
Side overlay panels with stitched detail
Perforation details at front and sides
Heel and tongue embossed SKECHERS logo designs
Heel panel overlay with pull on fabric top loop
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing midsole with sculpted detail
Flexible rubber high traction outsole
Contrast colored midsole detailing
1 3/4 inch built in heel",,,,
52185_LGBK,https://www.skechers.com/en-us/style/52185/flex-advantage-2-0-the-happs/lgbk,https://image.skechers.com/img/productimages/xlarge/52185_LGBK_F.jpg,Men's Flex Advantage 2.0 - The Happs,Skechers,ATHLETICS,Man,75,"Lightweight comfort gives you athletic versatility in the SKECHERS Flex Advantage 2.0 - The Happs shoe. Skech-Knit Mesh one piece fabric upper in a lace up athletic training sneaker with stitching accents. Air Cooled Memory Foam insole.
Construction

Skech-Knit Mesh woven one piece fabric upper
Stability knit mesh panels for added stability
Lace up athletic training sneaker design
Stitching accents
Nearly seamless upper design
Side S logo
Lace up front with reinforced embroidered eyelets
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
FlexSole lightweight flexible shock absorbing midsole
Flexible rubber traction outsole",,,,
