name,category,price,color,sizes,details,style,about,picture,web
Aquazzura,105mm Temptation Pumps,$695.00,White,"['35', '35.5', '36', '37', '38', '39', '39.5', '41']","['Fabric: PVC', 'Croc-embossed leather trim', 'Elastic inset at slingback strap', 'Lightly padded footbed', 'Pumps', 'Stiletto heel', 'Pointed toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",AQUDB30691,"Columbian-born designer Edgardo Osorio?™s luxe aesthetic and eye for detail have come to life in the Aquazzura footwear collection. After studying at the London College of Fashion and Central Saint Martins, Osorio made his way into the world of fashion footwear with stints at luxury labels such as Roberto Cavalli and Salvatore Ferragamo. Today, Osorio?™s passion for classic silhouettes and modern sophistication shows in every pair of Aquazzura shoes.                            See all  Aquazzura reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/aqudb/aqudb3069112397/aqudb3069112397_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//temptation-pump-105-aquazzura/vp/v=1/1520598540.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12397
Chloe Gosselin,110mm Tori Sandals,$950.00,Silver,"['35.5', '36', '36.5', '37', '37.5', '38', '38.5', '41']","['Leather: Cowhide', 'Textured metallic leather', 'Padded footbed', 'Strappy silhouette', 'Stiletto heel', 'Velcro at ankle', 'Open toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",CGOSS30019,"Quintessential French elegance and classic Italian craftsmanship? Consider us smitten with Chloe Gosselin! The designer's sought-after pairs are handmade in a remote town in Italy, with emphasis placed on timeless design and exceptional craftsmanship (and a just-right twist of fun). In other words, once Chloe Gosselin heels and mules hit your wardrobe, you'll be seeing things just a bit differently?”okay, a lot differently?”because these are shoes that instantly polish a look. (And they'll also make your next night out feel extra sleek, too.)",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/cgoss/cgoss3001912208/cgoss3001912208_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//tori-110mm-sandal-chloe-gosselin/vp/v=1/1581119841.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12208
Superga,1234 Cotu Lace Up Sneakers,$75.00,Total White,"['6', '6.5', '7.5', '8', '9', '9.5']","['Fabric: Canvas', 'Logo tab', 'Cushioned footbed', 'Lace-up at top', 'Rounded toe', 'Rubber sole', 'Imported, Vietnam', 'This item cannot be gift-boxed']",SPRGA30369,"In 1911, Walter Martiny began to produce shoes with vulcanized rubber soles at the Superga factory in Turin, Italy. The result was the now-iconic 2750 sneaker. The style quickly gained favor, becoming known as the ?œPeople?™s Shoe of Italy.??Modern iterations of the classic profile include high-tops and slip-ons, with capsule collections and collaborations with artists and designers keeping the celebrated silhouette fresh.                            See all  Superga reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sprga/sprga3036915ef3/sprga3036915ef3_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1234-cotu-laceup-sneakers-superga/vp/v=1/1537066894.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=15EF3
Buffalo London,1329-14 2.0 Classic Kick Mule Sneakers,$120.00,Blanco,"['36', '37', '38', '39', '40', '41']","['Leather: Cowhide', 'Logo tabs', 'Mules', 'Platform profile', 'Lace-up at front', 'Rounded toe', 'Rubber sole', 'Made in Spain', 'This item cannot be gift-boxed']",BUFFL30017,"Make a little room in your streetwear closet: Buffalo London sneakers are back! Originally known for making the cult-favorite platform sneakers that had us all buzzing back in the day, this German footwear label has reimagined its signature shoe with a modern bent. Casually oversized and playfully extreme, Buffalo London platform sneakers are as provocative as they are super comfortable. Light-as-air soles mean no matter how tall these kicks stand, you?™ll be as ready to dance the night away as to explore the city all day. In other words? Buffalo London shoes are officially a must-have for any sneaker buff.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/buffl/buffl3001729335/buffl3001729335_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1329-classic-kicks-mule-sneakers/vp/v=1/1511177039.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=29335
Buffalo London,1331-14 Classic Kicks Sneakers,$250.00,White,"['36', '37', '38', '39', '40', '41']","['Leather: Cowhide', 'Chunky silhouette', 'Logo tabs', 'Jogger sneakers', 'Platform profile', 'Lace-up at front', 'Rounded toe', 'Rubber sole', 'Made in Spain', 'This item cannot be gift-boxed']",BUFFL30027,"Make a little room in your streetwear closet: Buffalo London sneakers are back! Originally known for making the cult-favorite platform sneakers that had us all buzzing back in the day, this German footwear label has reimagined its signature shoe with a modern bent. Casually oversized and playfully extreme, Buffalo London platform sneakers are as provocative as they are super comfortable. Light-as-air soles mean no matter how tall these kicks stand, you?™ll be as ready to dance the night away as to explore the city all day. In other words? Buffalo London shoes are officially a must-have for any sneaker buff.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/buffl/buffl3002712397/buffl3002712397_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1331-classic-kicks-sneakers-buffalo/vp/v=1/1596885801.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12397
Buffalo London,1337-14  Classic Kicks Sneakers,$140.00,Leopard,"['36', '37', '38', '39', '40']","['Fabric: Technical weave', 'Animal print', 'Cushioned tongue and collar', 'Pull tabs at backheel', 'Jogger sneakers', 'Platform profile', 'Lace-up at top', 'Rounded toe', 'Man-made sole', 'Imported, Vietnam', 'This item cannot be gift-boxed']",BUFFL30018,"Make a little room in your streetwear closet: Buffalo London sneakers are back! Originally known for making the cult-favorite platform sneakers that had us all buzzing back in the day, this German footwear label has reimagined its signature shoe with a modern bent. Casually oversized and playfully extreme, Buffalo London platform sneakers are as provocative as they are super comfortable. Light-as-air soles mean no matter how tall these kicks stand, you?™ll be as ready to dance the night away as to explore the city all day. In other words? Buffalo London shoes are officially a must-have for any sneaker buff.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/buffl/buffl3001812139/buffl3001812139_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1337-classic-kicks-sneakers-buffalo/vp/v=1/1528370469.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12139
Buffalo London,1348-14 2.0 Classic Kicks Platform Sneakers,$245.00,Gold,"['36', '38', '39', '40']","['Leather: Cowhide', 'Metallic finish', 'Logo details', 'Cushioned tongue and collar', 'Pull tabs at backheel', 'High tops', 'Platform profile', 'Lace-up at top', 'Rounded toe', 'Man-made sole', 'Made in Spain', 'This item cannot be gift-boxed']",BUFFL30024,"Make a little room in your streetwear closet: Buffalo London sneakers are back! Originally known for making the cult-favorite platform sneakers that had us all buzzing back in the day, this German footwear label has reimagined its signature shoe with a modern bent. Casually oversized and playfully extreme, Buffalo London platform sneakers are as provocative as they are super comfortable. Light-as-air soles mean no matter how tall these kicks stand, you?™ll be as ready to dance the night away as to explore the city all day. In other words? Buffalo London shoes are officially a must-have for any sneaker buff.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/buffl/buffl3002411739/buffl3002411739_q2_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1348-classic-kicks-platform-sneakers/vp/v=1/1588904788.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11739
Stuart Weitzman,140mm Mirri Sandals,$475.00,Dolce,"['4.5', '5', '5.5', '7', '7.5', '8', '9', '9.5', '10', '11']","['Leather: Goatskin suede', 'Cheetah pattern', 'Strappy silhouette', 'Chunky heel', 'Platform profile', 'Buckle at ankle', 'Open toe', 'Rubber heel patch at leather sole', 'Made in Spain', 'This item cannot be gift-boxed']",STUAR21071,"Stuart Weitzman set out for a career on Wall Street, but his natural eye for beauty, attention to detail, and technical expertise led him instead to shoe design. Weitzman worked for his father's company, which he took over in 1965, and has since forged a tradition of chic pumps to stylish  boots and studded stilettos. Crafted in sumptuous leathers and suede, Stuart Weitzman shoes embody both high quality and artistic excellence.                            See all  Stuart Weitzman reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/stuar/stuar2107147101/stuar2107147101_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//mirri-140-sandal-stuart-weitzman/vp/v=1/1534648142.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=47101
Dr. Martens,1460 8 Eye Boots,$140.00,Stachel Red,"['5', '6', '7', '8', '9', '10', '11']","['Leather: Cowhide', 'Pull tabs at topline', 'Smooth leather', 'Air cushioned sole', 'Combat boots', 'Flat profile', 'Lace-up at top', 'Rounded toe', 'PVC sole', 'Imported, Thailand', 'This item cannot be gift-boxed']",DRMAR30193,"As you might expect from a shoe of such iconic status, the Dr. Martens brand has a storied history that spans more than a century. It begins very quietly in 1901, with the shoemaking Griggs family of Wollaston, England?”and continues in 1945 in Munich, where a young soldier with a foot injury invented an air-cushioned sole to aid his recovery. His name was Dr. Klaus Maertens, and the iconic Dr. Martens combat boot was designed only after his invention made its way to England. On April 1, 1960 (hence the name ??460??, the 8-eye Dr. Martens 1460 boot arrived on the scene?”and never left. As true fashion originals, it's fair to say that Dr. Martens will probably go out of style when jeans do: never!                            See all  Dr. Martens reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/drmar/drmar3019312df4/drmar3019312df4_q1_2-1._UX357_QL90_.jpg,https://www.shopbop.com//1460-eye-boot-dr-martens/vp/v=1/1504014714.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12DF4
Dr. Martens,1460 ALT 8 Eye Boots,$120.00,Black,['10'],"['Leather: Cowhide', 'Lace-up top', 'Buckle belts', 'Pull-tab cuff', 'Slip-resistant AirWair sole', 'Combat boots', 'Ankle length', 'Flat profile', 'Hidden zip at side', 'Rounded toe', 'PVC sole', 'Imported, Thailand', 'This item cannot be gift-boxed']",DRMAR30178,"As you might expect from a shoe of such iconic status, the Dr. Martens brand has a storied history that spans more than a century. It begins very quietly in 1901, with the shoemaking Griggs family of Wollaston, England?”and continues in 1945 in Munich, where a young soldier with a foot injury invented an air-cushioned sole to aid his recovery. His name was Dr. Klaus Maertens, and the iconic Dr. Martens combat boot was designed only after his invention made its way to England. On April 1, 1960 (hence the name ??460??, the 8-eye Dr. Martens 1460 boot arrived on the scene?”and never left. As true fashion originals, it's fair to say that Dr. Martens will probably go out of style when jeans do: never!                            See all  Dr. Martens reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/drmar/drmar301781071c/drmar301781071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1460-alt-eye-boot-dr/vp/v=1/1562006203.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
Dr. Martens,1460 Farrah 6 Eye Boots,$120.00,Multi Blue,"['5', '6', '7', '8', '9', '10']","['Fabric: Glitter coated canvas', 'Leather lining', 'Glitter flecked laces', 'Pull tabs', 'Lace-up at top', 'Rounded toe', 'Slip-resistant AirWair PVC sole', 'Imported, China', 'This item cannot be gift-boxed']",DRMAR30273,"As you might expect from a shoe of such iconic status, the Dr. Martens brand has a storied history that spans more than a century. It begins very quietly in 1901, with the shoemaking Griggs family of Wollaston, England?”and continues in 1945 in Munich, where a young soldier with a foot injury invented an air-cushioned sole to aid his recovery. His name was Dr. Klaus Maertens, and the iconic Dr. Martens combat boot was designed only after his invention made its way to England. On April 1, 1960 (hence the name ??460??, the 8-eye Dr. Martens 1460 boot arrived on the scene?”and never left. As true fashion originals, it's fair to say that Dr. Martens will probably go out of style when jeans do: never!                            See all  Dr. Martens reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/drmar/drmar3027316918/drmar3027316918_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1460-farrah-eye-boot-dr/vp/v=1/1520121782.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=16918
Dr. Martens,1460 Harness Boots,$160.00,Black,"['5', '6', '7', '8', '9', '10', '11']","['Leather: Cowhide', 'Polished smooth leather', 'Harness boots with silver-tone hardware', 'Pull tabs', 'Lace-up closure', 'Signature air cushion EVA sole', 'Imported, Thailand', 'This item cannot be gift-boxed']",DRMAR30266,"As you might expect from a shoe of such iconic status, the Dr. Martens brand has a storied history that spans more than a century. It begins very quietly in 1901, with the shoemaking Griggs family of Wollaston, England?”and continues in 1945 in Munich, where a young soldier with a foot injury invented an air-cushioned sole to aid his recovery. His name was Dr. Klaus Maertens, and the iconic Dr. Martens combat boot was designed only after his invention made its way to England. On April 1, 1960 (hence the name ??460??, the 8-eye Dr. Martens 1460 boot arrived on the scene?”and never left. As true fashion originals, it's fair to say that Dr. Martens will probably go out of style when jeans do: never!                            See all  Dr. Martens reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/drmar/drmar302661071c/drmar302661071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1460-harness-boot-dr-martens/vp/v=1/1542484406.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
Dr. Martens,1460 LL 8 Eye Boots,$87.50,Oxblood,['11'],"['Leather: Cowhide', 'Combat boots with smooth leather', 'Lace-up at top', 'Rounded toe', 'PVC lug sole', 'Imported, Vietnam', 'This item cannot be gift-boxed']",DRMAR30180,"As you might expect from a shoe of such iconic status, the Dr. Martens brand has a storied history that spans more than a century. It begins very quietly in 1901, with the shoemaking Griggs family of Wollaston, England?”and continues in 1945 in Munich, where a young soldier with a foot injury invented an air-cushioned sole to aid his recovery. His name was Dr. Klaus Maertens, and the iconic Dr. Martens combat boot was designed only after his invention made its way to England. On April 1, 1960 (hence the name ??460??, the 8-eye Dr. Martens 1460 boot arrived on the scene?”and never left. As true fashion originals, it's fair to say that Dr. Martens will probably go out of style when jeans do: never!                            See all  Dr. Martens reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/drmar/drmar3018012702/drmar3018012702_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1460-eye-boot-dr-martens/vp/v=1/1584844828.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12702
Dr. Martens,1460 Mono 8 Eye Boots,$135.00,White,"['5', '6', '7', '11']","['Leather: Cowhide', 'Slip-resistant AirWair sole', 'Pull tab at heel', 'Goodyear welts', 'Combat boots', 'Flat profile', 'Lace-up at top', 'PVC sole', 'Imported, Thailand', 'This item cannot be gift-boxed']",DRMAR30137,"As you might expect from a shoe of such iconic status, the Dr. Martens brand has a storied history that spans more than a century. It begins very quietly in 1901, with the shoemaking Griggs family of Wollaston, England?”and continues in 1945 in Munich, where a young soldier with a foot injury invented an air-cushioned sole to aid his recovery. His name was Dr. Klaus Maertens, and the iconic Dr. Martens combat boot was designed only after his invention made its way to England. On April 1, 1960 (hence the name ??460??, the 8-eye Dr. Martens 1460 boot arrived on the scene?”and never left. As true fashion originals, it's fair to say that Dr. Martens will probably go out of style when jeans do: never!                            See all  Dr. Martens reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/drmar/drmar30137102ca/drmar30137102ca_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1460-mono-eye-boot-dr/vp/v=1/1572441412.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=102CA
Dr. Martens,1460 Pascal 8 Eye Boots,$140.00,Blue Iridescent,"['5', '6', '7']","['Leather: Cowhide', 'Metallic leather', 'Two-tone iridescent scales', 'Airwair air-cushioned sole', 'Grooved edges, visible stitching and heel-loop', 'Combat boots', 'Lace-up at top', 'PVC sole', 'Imported, China', 'This item cannot be gift-boxed']",DRMAR30254,"As you might expect from a shoe of such iconic status, the Dr. Martens brand has a storied history that spans more than a century. It begins very quietly in 1901, with the shoemaking Griggs family of Wollaston, England?”and continues in 1945 in Munich, where a young soldier with a foot injury invented an air-cushioned sole to aid his recovery. His name was Dr. Klaus Maertens, and the iconic Dr. Martens combat boot was designed only after his invention made its way to England. On April 1, 1960 (hence the name ??460??, the 8-eye Dr. Martens 1460 boot arrived on the scene?”and never left. As true fashion originals, it's fair to say that Dr. Martens will probably go out of style when jeans do: never!                            See all  Dr. Martens reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/drmar/drmar3025490726/drmar3025490726_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1460-pascal-eye-boot-dr/vp/v=1/1533924396.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=90726
Dr. Martens,1460 Pascal Mono 8 Eye Boots,$140.00,Black,"['10', '11']","['Leather: Cowhide', 'Slip-resistant AirWair sole', 'Pull tabs', 'Combat boots', 'Chunky heel', 'Lace-up at top', 'Rounded toe', 'PVC sole', 'Unlined', 'Imported, Vietnam', 'This item cannot be gift-boxed']",DRMAR30271,"As you might expect from a shoe of such iconic status, the Dr. Martens brand has a storied history that spans more than a century. It begins very quietly in 1901, with the shoemaking Griggs family of Wollaston, England?”and continues in 1945 in Munich, where a young soldier with a foot injury invented an air-cushioned sole to aid his recovery. His name was Dr. Klaus Maertens, and the iconic Dr. Martens combat boot was designed only after his invention made its way to England. On April 1, 1960 (hence the name ??460??, the 8-eye Dr. Martens 1460 boot arrived on the scene?”and never left. As true fashion originals, it's fair to say that Dr. Martens will probably go out of style when jeans do: never!                            See all  Dr. Martens reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/drmar/drmar302711071c/drmar302711071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//1460-pascal-mono-eye-boot/vp/v=1/1576580870.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
